ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent
94087,SUNNYVALE,Sunnyvale,CA,SANTA CLARA,Santa Clara,37.35351,-122.03047600000001,3001.0
94102,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.779392,-122.41773799999999,4847.0
94103,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.775504,-122.41292,4678.0
94105,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.788543,-122.393872,5945.0
94107,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.76785,-122.39286100000001,4804.0
94109,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.79616400000001,-122.42090300000001,4450.0
94110,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.748676,-122.41581299999999,4130.0
94114,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.758229,-122.43951200000001,4812.0
94115,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.78597,-122.43726200000002,4417.0
94117,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.769165,-122.442497,4206.0
94118,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.782354999999995,-122.46079499999999,3748.0
93906,SALINAS,Salinas,CA,MONTEREY,Monterey,36.729246999999994,-121.620125,1872.0
93940,MONTEREY,Monterey,CA,MONTEREY,Monterey,36.583624,-121.836902,2170.0
94025,MENLO PARK,Menlo Park,CA,SAN MATEO,San Mateo,37.459034,-122.18605500000001,4033.0
94061,REDWOOD CITY,Redwood City,CA,SAN MATEO,San Mateo,37.463334,-122.240826,3073.0
94063,REDWOOD CITY,Redwood City,CA,SAN MATEO,San Mateo,37.505169,-122.204796,4071.0
94066,SAN BRUNO,San Bruno,CA,SAN MATEO,San Mateo,37.618276,-122.434615,3309.0
94121,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.78087100000001,-122.49528500000001,3556.0
94122,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.761959000000004,-122.483125,3340.0
94123,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.801844,-122.436531,4767.0
94133,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.811747,-122.41301999999999,4209.0
94158,SAN FRANCISCO,San Francisco,CA,SAN FRANCISCO,San Francisco,37.770812,-122.39074,5160.0
94306,PALO ALTO,Palo Alto,CA,SANTA CLARA,Santa Clara,37.411846000000004,-122.1295,3570.0
94401,SAN MATEO,San Mateo,CA,SAN MATEO,San Mateo,37.5742,-122.319392,3420.0
94403,SAN MATEO,San Mateo,CA,SAN MATEO,San Mateo,37.540657,-122.304154,3605.0
94404,SAN MATEO,San Mateo,CA,SAN MATEO,San Mateo,37.554668,-122.269384,3632.0
94501,ALAMEDA,Alameda,CA,ALAMEDA,Alameda,37.773545,-122.27848700000001,2470.0
94509,ANTIOCH,Antioch,CA,CONTRA COSTA,Contra Costa,37.989819,-121.80729699999999,1795.0
94533,FAIRFIELD,Fairfield,CA,SOLANO,Solano,38.280159999999995,-122.02017,1672.0
94536,FREMONT,Fremont,CA,ALAMEDA,Alameda,37.566990000000004,-121.982656,2712.0
94538,FREMONT,Fremont,CA,ALAMEDA,Alameda,37.510101,-121.986139,2722.0
94544,HAYWARD,Hayward,CA,ALAMEDA,Alameda,37.636814,-122.049426,2185.0
94546,CASTRO VALLEY,Castro Valley,CA,ALAMEDA,Alameda,37.74827,-122.11632,2250.0
94553,MARTINEZ,Martinez,CA,CONTRA COSTA,Contra Costa,37.975074,-122.15481299999999,2009.0
94558,NAPA,Napa,CA,NAPA,Napa,38.52972000000001,-122.279498,2404.0
94559,NAPA,Napa,CA,NAPA,Napa,38.251876,-122.328443,2350.0
94560,NEWARK,Newark,CA,ALAMEDA,Alameda,37.520602000000004,-122.049566,2588.0
94565,PITTSBURG,Pittsburg,CA,CONTRA COSTA,Contra Costa,38.009465999999996,-121.928059,1909.0
94566,PLEASANTON,Pleasanton,CA,ALAMEDA,Alameda,37.64530900000001,-121.84965,2621.0
94301,PALO ALTO,Palo Alto,CA,SANTA CLARA,Santa Clara,37.44296,-122.151198,4350.0
94521,CONCORD,Concord,CA,CONTRA COSTA,Contra Costa,37.965458,-121.952671,2024.0
94523,PLEASANT HILL,Pleasant Hill,CA,CONTRA COSTA,Contra Costa,37.953762,-122.077832,2520.0
94568,DUBLIN,Dublin,CA,ALAMEDA,Alameda,37.716294,-121.912438,2951.0
94597,WALNUT CREEK,Walnut Creek,CA,CONTRA COSTA,Contra Costa,37.918043,-122.07348200000001,2682.0
94598,WALNUT CREEK,Walnut Creek,CA,CONTRA COSTA,Contra Costa,37.89938400000001,-121.992084,2575.0
94607,OAKLAND,Oakland,CA,ALAMEDA,Alameda,37.810945000000004,-122.3007,3776.0
94608,EMERYVILLE,Emeryville,CA,ALAMEDA,Alameda,37.83466,-122.291944,3353.0
94582,SAN RAMON,San Ramon,CA,CONTRA COSTA,Contra Costa,37.763537,-121.91206000000001,2513.0
94583,SAN RAMON,San Ramon,CA,CONTRA COSTA,Contra Costa,37.769921999999994,-122.001446,2524.0
94587,UNION CITY,Union City,CA,ALAMEDA,Alameda,37.602056,-122.04444299999999,2478.0
94588,PLEASANTON,Pleasanton,CA,ALAMEDA,Alameda,37.690215,-121.90223,2865.0
94590,VALLEJO,Vallejo,CA,SOLANO,Solano,38.094644,-122.25385800000001,1725.0
94596,WALNUT CREEK,Walnut Creek,CA,CONTRA COSTA,Contra Costa,37.891382,-122.03577,2616.0
94804,RICHMOND,Richmond,CA,CONTRA COSTA,Contra Costa,37.924271999999995,-122.344349,2473.0
94806,SAN PABLO,San Pablo,CA,CONTRA COSTA,Contra Costa,37.980032,-122.33313600000001,2227.0
95008,CAMPBELL,Campbell,CA,SANTA CLARA,Santa Clara,37.279015,-121.956694,2787.0
95014,CUPERTINO,Cupertino,CA,SANTA CLARA,Santa Clara,37.294256,-122.09444099999999,3431.0
95050,SANTA CLARA,Santa Clara,CA,SANTA CLARA,Santa Clara,37.351479,-121.950818,2792.0
95051,SANTA CLARA,Santa Clara,CA,SANTA CLARA,Santa Clara,37.350372,-121.98475,2872.0
95054,SANTA CLARA,Santa Clara,CA,SANTA CLARA,Santa Clara,37.396312,-121.961396,3317.0
95032,LOS GATOS,Los Gatos,CA,SANTA CLARA,Santa Clara,37.218742,-121.929452,3445.0
95035,MILPITAS,Milpitas,CA,SANTA CLARA,Santa Clara,37.422039,-121.81659099999999,2823.0
95110,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.342165,-121.906775,3391.0
95112,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.341544,-121.881824,3086.0
95117,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.312676,-121.96578400000001,2391.0
95123,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.240714000000004,-121.82688300000001,2768.0
95125,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.297218,-121.89510200000001,2632.0
95126,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.324144,-121.915012,3230.0
95128,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.316213,-121.93253600000001,2855.0
95129,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.307495,-122.002234,2828.0
95131,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.387448,-121.90226000000001,2980.0
95134,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.424813,-121.945999,3354.0
95136,SAN JOSE,San Jose,CA,SANTA CLARA,Santa Clara,37.272482000000004,-121.843473,2708.0
95219,STOCKTON,Stockton,CA,SAN JOAQUIN,San Joaquin,38.029070000000004,-121.455145,1482.0
95608,CARMICHAEL,Carmichael,CA,SACRAMENTO,Sacramento,38.62315,-121.328098,1278.0
95630,FOLSOM,Folsom,CA,SACRAMENTO,Sacramento,38.664532,-121.145,1741.0
95678,ROSEVILLE,Roseville,CA,PLACER,Placer,38.763448,-121.279723,1612.0
95687,VACAVILLE,Vacaville,CA,SOLANO,Solano,38.350466,-121.919628,1800.0
95816,SACRAMENTO,Sacramento,CA,SACRAMENTO,Sacramento,38.57586,-121.46441599999999,1662.0
95825,SACRAMENTO,Sacramento,CA,SACRAMENTO,Sacramento,38.585164,-121.401198,1337.0
95835,SACRAMENTO,Sacramento,CA,SACRAMENTO,Sacramento,38.670652000000004,-121.525618,1754.0
95814,SACRAMENTO,Sacramento,CA,SACRAMENTO,Sacramento,38.581666999999996,-121.49590800000001,2179.0
10001,NEW YORK,New York,NY,NEW YORK,New York,40.7508,-73.996122,5558.0
10002,NEW YORK,New York,NY,NEW YORK,New York,40.722296,-73.985506,3265.0
10009,NEW YORK,New York,NY,NEW YORK,New York,40.72698,-73.980115,3482.0
10010,NEW YORK,New York,NY,NEW YORK,New York,40.73863400000001,-73.98293699999998,3981.0
10011,NEW YORK,New York,NY,NEW YORK,New York,40.74406,-74.004592,4872.0
10012,NEW YORK,New York,NY,NEW YORK,New York,40.725568,-73.99820799999998,3997.0
10013,NEW YORK,New York,NY,NEW YORK,New York,40.720921000000004,-74.008878,4948.0
10014,NEW YORK,New York,NY,NEW YORK,New York,40.734332,-74.010112,4218.0
10016,NEW YORK,New York,NY,NEW YORK,New York,40.744594,-73.978088,4337.0
10017,NEW YORK,New York,NY,NEW YORK,New York,40.752516,-73.973072,4484.0
10018,NEW YORK,New York,NY,NEW YORK,New York,40.755256,-73.996684,4804.0
10019,NEW YORK,New York,NY,NEW YORK,New York,40.767192,-73.99181,4982.0
10021,NEW YORK,New York,NY,NEW YORK,New York,40.769830999999996,-73.95851400000002,3664.0
10022,NEW YORK,New York,NY,NEW YORK,New York,40.758346,-73.967997,4180.0
10003,NEW YORK,New York,NY,NEW YORK,New York,40.731392,-73.9884,3882.0
10004,NEW YORK,New York,NY,NEW YORK,New York,40.695383,-74.026525,5534.0
10005,NEW YORK,New York,NY,NEW YORK,New York,40.706171999999995,-74.008596,5443.0
