ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
28117,MOORESVILLE,Mooresville,NC,IREDELL,Iredell,35.571472,-80.89599799999999,885.0
28202,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.227646,-80.84375,1592.0
28203,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.208484000000006,-80.858125,1444.0
28204,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.213364,-80.8262,1341.0
28205,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.218036,-80.78684399999999,1331.0
28209,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.17662,-80.852575,1333.0
28269,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.340751000000004,-80.7936,1001.0
28273,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.123281,-80.93395500000001,1150.0
28277,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.050810999999996,-80.82214300000001,1256.0
28262,CHARLOTTE,Charlotte,NC,MECKLENBURG,Mecklenburg,35.326156,-80.746054,1007.0
28412,WILMINGTON,Wilmington,NC,NEW HANOVER,New Hanover,34.12577,-77.92095400000001,992.0
29201,COLUMBIA,Columbia,SC,RICHLAND,Richland,33.986628,-81.024826,1007.0
29414,CHARLESTON,Charleston,SC,CHARLESTON,Charleston,32.851119,-80.123542,1198.0
29464,MOUNT PLEASANT,Mount Pleasant,SC,CHARLESTON,Charleston,32.821494,-79.852362,1385.0
29492,CHARLESTON,Charleston,SC,BERKELEY,Berkeley,32.913121999999994,-79.86403299999999,1385.0
29579,MYRTLE BEACH,Myrtle Beach,SC,HORRY,Horry,33.744234999999996,-78.909453,805.0
29601,GREENVILLE,Greenville,SC,GREENVILLE,Greenville,34.847964000000005,-82.401036,1159.0
29607,GREENVILLE,Greenville,SC,GREENVILLE,Greenville,34.803774,-82.321517,1007.0
29615,GREENVILLE,Greenville,SC,GREENVILLE,Greenville,34.859823999999996,-82.294004,895.0
30022,ALPHARETTA,Alpharetta,GA,FULTON,Fulton,34.020538,-84.248746,1182.0
30004,ALPHARETTA,Alpharetta,GA,FULTON,Fulton,34.128581,-84.294854,1209.0
30005,ALPHARETTA,Alpharetta,GA,FULTON,Fulton,34.090544,-84.21828199999999,1191.0
30024,SUWANEE,Suwanee,GA,GWINNETT,Gwinnett,34.064899,-84.093288,1232.0
30033,DECATUR,Decatur,GA,DEKALB,Dekalb,33.816389,-84.286399,1247.0
30080,SMYRNA,Smyrna,GA,COBB,Cobb,33.86504,-84.498238,1124.0
30084,TUCKER,Tucker,GA,DEKALB,Dekalb,33.856021999999996,-84.21368199999999,909.0
30092,NORCROSS,Norcross,GA,GWINNETT,Gwinnett,33.968149,-84.226788,903.0
30093,NORCROSS,Norcross,GA,GWINNETT,Gwinnett,33.905946,-84.18073299999999,952.0
30096,DULUTH,Duluth,GA,GWINNETT,Gwinnett,33.982442,-84.15107900000001,1096.0
30044,LAWRENCEVILLE,Lawrenceville,GA,GWINNETT,Gwinnett,33.921576,-84.067254,986.0
30067,MARIETTA,Marietta,GA,COBB,Cobb,33.933184000000004,-84.46290400000001,940.0
30076,ROSWELL,Roswell,GA,FULTON,Fulton,34.024887,-84.311908,1164.0
30097,DULUTH,Duluth,GA,FULTON,Fulton,34.028646,-84.146826,1273.0
30144,KENNESAW,Kennesaw,GA,COBB,Cobb,34.033302,-84.59772099999999,1073.0
30263,NEWNAN,Newnan,GA,COWETA,Coweta,33.373765999999996,-84.858892,993.0
30305,ATLANTA,Atlanta,GA,FULTON,Fulton,33.834773,-84.388402,1520.0
30318,ATLANTA,Atlanta,GA,FULTON,Fulton,33.793085,-84.445357,1420.0
30319,ATLANTA,Atlanta,GA,DEKALB,Dekalb,33.877272,-84.33404200000001,1420.0
30329,ATLANTA,Atlanta,GA,DEKALB,Dekalb,33.826738,-84.32473,1269.0
30331,ATLANTA,Atlanta,GA,FULTON,Fulton,33.724790999999996,-84.580202,1159.0
30342,ATLANTA,Atlanta,GA,FULTON,Fulton,33.881859999999996,-84.3783,1329.0
30306,ATLANTA,Atlanta,GA,FULTON,Fulton,33.789038,-84.353583,1306.0
30307,ATLANTA,Atlanta,GA,FULTON,Fulton,33.774352,-84.33645200000001,1637.0
30308,ATLANTA,Atlanta,GA,FULTON,Fulton,33.769121999999996,-84.37645400000001,1642.0
30309,ATLANTA,Atlanta,GA,FULTON,Fulton,33.798463,-84.388284,1692.0
